Glucose_max,Glucose_min,Glucose_variance,velocity_max,velocity_min,velocity_variance,rms_max,rms_min,rms_variance,fft_max,fft_min,fft_variance
362.0,212.0,1602.409989594173,23.0,-34.0,182.05,342.50810209395047,237.6863479461957,1215.2072710773552,8745.0,27.22185662395347,2345229.3939900184
225.0,87.0,1606.382934443288,19.0,-6.0,46.36,197.79989888773957,91.47130697655959,1159.2000414157435,4586.0,60.04363108487027,641393.0547873706
228.0,207.0,32.1748178980229,7.0,-5.0,6.578888888888888,224.02410584577723,207.60057803387735,25.466046904799633,6610.0,2.7133831715491383,1356676.525844708
264.0,179.0,729.723204994797,9.0,-13.0,20.76,261.80412525397685,188.4940317357555,535.5487066364515,7123.0,26.74472782171352,1564192.7386728746
281.0,95.0,4182.994797086368,23.0,-8.0,37.912222222222226,279.4075875848757,99.68951800465283,3327.816279984866,6473.0,79.69395721542186,1291463.251052184
141.0,82.0,315.7023933402707,8.0,-17.0,25.956666666666663,134.3272124329244,84.00714255347577,231.25877870157416,3234.0,12.59750980781676,321934.8254599389
138.0,66.0,441.66909469302806,17.0,-22.0,58.53333333333333,130.30195700755993,68.42221861354687,395.6345313135493,3054.0,3.7915562119488784,289143.7240408974
281.0,157.0,1594.4099895941729,16.0,-16.0,67.33888888888889,274.05327949141565,163.08218786857134,1585.502276643639,6600.0,4.179924364458102,1365367.7054146922
339.0,127.0,5709.302809573362,28.0,-5.0,70.0988888888889,311.323947039093,130.43005788544295,4547.87613101602,6594.0,95.60294798502663,1354500.2580242704
217.0,95.0,1881.7232049947968,16.0,-8.0,39.01,213.8218884960097,97.6340104676644,1596.6099146161494,5060.0,48.92186920975209,791971.1255078315
281.0,120.0,2861.5546305931325,47.0,-39.0,272.96555555555557,270.5217181669524,143.01538378789886,1827.7605926620902,6422.0,10.496995900498344,1301437.07654341
274.0,132.0,2133.3381893860565,25.0,-27.0,143.84888888888887,261.74873447640584,139.58438308062975,1549.0102037034362,6041.0,7.6106707214468,1156888.8829475304
250.0,139.0,910.4828303850155,14.0,-12.0,52.498888888888885,243.25213257030245,149.3204607547137,692.687654419429,6077.0,15.426987986533327,1140927.8151795832
239.0,40.0,3711.9667013527583,20.0,-31.0,104.71222222222222,220.4790239455899,43.840620433565945,2789.517540332875,4091.0,65.22665220432575,528689.1365227
276.0,116.0,3077.238293444329,12.0,-1.0,11.595555555555555,265.2583646183471,117.20238905414855,2384.2052526703283,5819.0,72.31941924195056,1038530.8075580472
98.0,60.0,107.27575442247657,11.0,-9.0,21.92888888888888,91.18004167579657,61.624670384514026,79.84936688014042,2214.0,3.82616823392199,150270.61752087512
189.0,94.0,777.3402705515089,19.0,-21.0,80.31555555555558,177.33302004984859,107.38808127534452,398.61284225165105,4353.0,3.4105883695104873,589628.2334197869
283.0,127.0,1790.824141519251,28.0,-9.0,62.96000000000001,274.22436069758646,149.0516688937095,945.9036462762496,7179.0,75.94602219315944,1550229.0925560533
215.0,110.0,1108.8511966701353,13.0,-17.0,65.47222222222221,215.0,117.72510352511907,865.1535510031642,5013.0,38.97349451879389,765681.7093246786
191.0,113.0,601.5941727367326,14.0,-9.0,38.165555555555564,185.27924870313998,113.6010563331169,458.02369519322167,4736.0,2.3187296832772364,698993.2157715622
220.0,93.0,2052.199791883455,34.0,-11.0,96.78222222222222,216.6125573460597,96.0145822258265,1792.3155688049014,5244.0,24.932377457403067,864790.2931225552
260.0,79.0,3187.261186264308,14.0,-1.0,12.698888888888888,235.86521574831673,83.49251463454674,2306.892970170927,5033.0,86.3019026145146,772599.4492937841
256.0,102.0,1953.188345473465,22.0,-5.0,48.67222222222222,223.78382425903797,106.44247272588137,1411.442174131876,5450.0,74.66444321422212,897550.3737751344
245.0,84.0,1412.6305931321538,27.0,-13.0,116.03222222222225,239.64390248867173,133.03984365595142,730.4561202816404,6001.0,39.013014588546405,1098339.8925473792
187.0,46.0,1159.3465140478665,27.0,-11.0,70.05,182.4258753576367,83.6731737177454,632.9140086609284,4511.0,47.77643061859312,613576.4468093617
277.0,57.0,5610.124869927159,49.0,-17.0,225.3155555555555,256.1620580804269,62.528393550450346,4483.149988283987,6012.0,62.984592201368216,1148493.5295251627
235.0,131.0,1242.2414151925075,18.0,-17.0,67.66222222222221,233.20291593374213,139.0898989862312,905.3226320130948,5638.0,5.0860990936814225,1001563.4739725745
317.0,144.0,1897.1446409989599,29.0,-32.0,168.62222222222226,309.2494139040525,181.512534002476,1242.744991673707,7878.0,47.042666486139396,1901242.1807872825
210.0,60.0,2035.9021852237254,19.0,-14.0,91.43222222222221,203.0945592575045,65.47365882551547,1676.620653276402,4153.0,13.10021081471157,563039.8354951498
175.0,84.0,856.6888657648283,14.0,-7.0,28.71555555555556,170.47932425957114,86.22180698639991,603.0952980430063,3863.0,36.831024086445716,456657.4198836002
134.0,84.0,173.84183142559834,15.0,-17.0,46.57333333333334,119.90496236603389,86.82165628459296,68.30849231008074,3235.0,16.263268284347724,317010.8612495858
271.0,197.0,318.6763787721124,19.0,-17.0,45.39555555555555,263.84806233891504,205.12093993544394,185.19506938109774,7379.0,1.2248363570662577,1678790.0961567354
195.0,52.0,2544.9739854318423,26.0,-15.0,136.76000000000002,190.2330150105391,58.55254050850399,2019.5069981911365,3622.0,2.3836701338023105,454805.8759000229
216.0,100.0,1609.4817898022889,19.0,-9.0,46.583333333333336,213.60805228267964,103.23759005323593,1277.7074441461352,4983.0,47.50203956625194,761041.2595185637
